trial,gain,gf,lat,ttmn,tlag,psi
0,0.9377542747882459,1.5,26.80000000000001,0.0,,0.0
1,1.9802671013397508,9.0,9.70000000000016,0.0,,0.0
2,0.7170588692919131,1.0,15.799999999999955,0.0,,0.0
3,1.19214598889198,5.0,15.0,0.0,,0.0
4,1.5710357116747415,5.0,9.999999999999773,0.0,,0.0
5,1.0481284538763873,1.5,15.099999999999909,0.0,,0.0
6,0.6895268614242765,0.5,23.800000000000182,0.0,,0.0
7,0.6307392794426149,1.0,21.40000000000009,0.0,,0.0
8,0.7954375703136567,0.5,24.50000000000091,0.0,,0.0
9,1.1163869817968985,2.5,16.200000000000273,0.0,,0.0
10,0.6036208006069895,0.5,21.800000000000637,0.0,,0.0
11,0.9006957241680038,1.0,38.099999999999454,0.0,,0.0
12,0.9234741187077761,1.5,26.200000000000728,0.0,,0.0
13,1.3105184107692724,3.0,12.600000000002183,0.0,,0.0
14,1.1133010949318076,4.0,21.200000000001637,0.0,,0.0
15,1.194450628436782,2.5,23.600000000003092,0.0,,0.0
16,0.7211455391554594,1.5,25.50000000000273,0.0,,0.0
17,0.9372485065118077,1.5,27.500000000004547,0.0,,0.0
18,1.4799195601229527,7.0,11.600000000004911,0.0,,0.0
19,2.110058289813403,10.0,10.600000000004911,0.0,,0.0
