trial,gain,gf,lat,ttmn,tlag,psi
0,1.0648831880319418,2.0,17.700000000000045,2.0,0.0999999999999659,2.0
1,0.936081782696585,1.5,32.600000000000136,1.5,0.09999999999990905,1.5
2,1.377418816918276,4.5,16.90000000000009,4.5,0.10000000000013642,4.5
3,1.0538499299986492,2.5,17.90000000000009,2.5,0.09999999999990905,2.5
4,0.7650342410761951,1.0,51.99999999999977,1.0,0.09999999999990905,1.0
5,1.198172557684509,2.5,11.800000000000182,2.5,0.0999999999994543,2.5
6,1.9193757876197597,9.0,9.800000000000182,9.0,0.09999999999990905,9.0
7,1.605668982978419,8.5,15.900000000000091,8.5,0.1000000000003638,8.5
8,0.7033732298360884,0.5,21.500000000000455,0.5,0.09999999999990905,0.5
9,0.5311500404912064,0.5,33.900000000000546,0.5,0.09999999999990905,0.5
10,0.7322471164092916,1.0,48.900000000000546,1.0,0.09999999999990905,1.0
11,1.020877947247225,2.5,15.400000000000546,2.5,0.0999999999994543,2.5
12,0.3126986326280932,0.0,,0.0,,0.0
13,0.8963755331757737,1.0,28.200000000002547,1.0,0.0999999999994543,1.0
14,0.5363569041090662,0.0,,0.0,,0.0
15,0.6934101017879203,1.0,33.400000000003274,1.0,0.0999999999994543,1.0
16,0.761755613880264,2.0,21.700000000003456,2.0,0.0999999999994543,2.0
17,0.8537216473586475,0.5,20.900000000003274,0.5,0.10000000000127329,0.5
18,1.2285262351531183,3.5,21.80000000000473,3.5,0.1000000000003638,3.5
19,1.6841427568802136,5.5,13.400000000005093,5.5,0.0999999999994543,5.5
