trial,type,side,spikes_per_cell,latency_ms
0,MN9,L,1.0,218.89999999999998
0,MN9,R,0.0,218.89999999999998
1,MN9,L,0.0,
1,MN9,R,0.0,
2,MN9,L,0.0,
2,MN9,R,0.0,
3,MN9,L,2.0,129.5
3,MN9,R,0.0,129.5
4,MN9,L,0.0,
4,MN9,R,0.0,
5,MN9,L,0.0,
5,MN9,R,0.0,
6,MN9,L,3.0,129.20000000000073
6,MN9,R,0.0,129.20000000000073
7,MN9,L,0.0,
7,MN9,R,0.0,
8,MN9,L,0.0,
8,MN9,R,0.0,
9,MN9,L,0.0,
9,MN9,R,0.0,
10,MN9,L,3.0,143.40000000000055
10,MN9,R,0.0,143.40000000000055
11,MN9,L,2.0,180.5
11,MN9,R,0.0,180.5
12,MN9,L,2.0,176.80000000000018
12,MN9,R,0.0,176.80000000000018
13,MN9,L,0.0,
13,MN9,R,0.0,
14,MN9,L,0.0,
14,MN9,R,0.0,
15,MN9,L,0.0,
15,MN9,R,0.0,
16,MN9,L,1.0,218.70000000000073
16,MN9,R,0.0,218.70000000000073
17,MN9,L,0.0,
17,MN9,R,0.0,
18,MN9,L,0.0,
18,MN9,R,0.0,
19,MN9,L,0.0,
19,MN9,R,0.0,
