type,influence,n_pre,per_neuron,n_type,nt
LN-DN1,27397.0,2,13698.5,2,acetylcholine
BM,18466.0,6,3077.6666666666665,69,acetylcholine
SNppxx,435.0,1,435.0,80,acetylcholine
"SApp06,SApp15",406.0,1,406.0,37,acetylcholine
aPhM2b,328.0,2,164.0,2,acetylcholine
LB3b,221.0,2,110.5,11,acetylcholine
LB3a,426.0,4,106.5,17,acetylcholine
LB3d,618.0,6,103.0,26,acetylcholine
BM_Vt_PoOc,255.0,6,42.5,8,acetylcholine
BM_MaPa,84.0,2,42.0,15,acetylcholine
BM_vOcci_vPoOr,140.0,4,35.0,26,acetylcholine
ENS1,140.0,4,35.0,6,acetylcholine
BM_InOm,30.0,1,30.0,745,acetylcholine
LB3c,-252.0,11,-22.90909090909091,23,acetylcholine
SNxx14,-25.0,1,-25.0,66,acetylcholine
SNxx06,-80.0,3,-26.666666666666668,37,acetylcholine
SAxx01,-86.0,3,-28.666666666666668,13,acetylcholine
SNxx25,-30.0,1,-30.0,10,acetylcholine
TPMN1,-715.0,21,-34.04761904761905,48,acetylcholine
PhG8,-35.0,1,-35.0,4,acetylcholine
JO-B2,-80.0,2,-40.0,9,acetylcholine
JO-B3,-140.0,3,-46.666666666666664,12,acetylcholine
PhG15,-95.0,2,-47.5,2,acetylcholine
claw_tpGRN,-793.0,15,-52.86666666666667,50,acetylcholine
aPhM1,-760.0,14,-54.285714285714285,21,acetylcholine
PhG14,-120.0,2,-60.0,2,acetylcholine
LB1c,-66.0,1,-66.0,16,acetylcholine
SNpp55,-144.0,2,-72.0,7,acetylcholine
PhG1c,-295.0,4,-73.75,4,acetylcholine
SNxx20,-940.0,12,-78.33333333333333,26,acetylcholine
SNxx15,-235.0,3,-78.33333333333333,10,acetylcholine
SNpp59,-180.0,2,-90.0,6,acetylcholine
DNx02,-108.0,1,-108.0,4,acetylcholine
SNpp41,-468.0,4,-117.0,22,acetylcholine
DNx01,-255.0,2,-127.5,2,acetylcholine
aPhM3,-685.0,4,-171.25,5,acetylcholine
BM_Hau,-1137.0,6,-189.5,7,acetylcholine
SNpp44,-594.0,3,-198.0,5,acetylcholine
PhG4,-210.0,1,-210.0,4,acetylcholine
SNpp19,-3150.0,14,-225.0,35,acetylcholine
SNxx19,-1160.0,5,-232.0,14,acetylcholine
JO-FV,-1071.0,4,-267.75,70,acetylcholine
TPMN2,-4198.0,11,-381.6363636363636,12,acetylcholine
PhG2,-1724.0,4,-431.0,4,acetylcholine
JO-FD1,-867.0,2,-433.5,4,acetylcholine
BM_Vib,-1499.0,3,-499.6666666666667,22,acetylcholine
ENS2,-2382.0,4,-595.5,4,acetylcholine
aPhM4,-4306.0,2,-2153.0,2,acetylcholine
aPhM2a,-16023.0,5,-3204.6,5,acetylcholine
aPhM5,-13615.0,4,-3403.75,4,acetylcholine
GNG654,-10407.0,2,-5203.5,2,acetylcholine
BM_Taste,-385614.0,37,-10422.0,40,acetylcholine
