type,n,mn9,mn9_L,mn9_R,cns
BM,69,0.0,0.0,0.0,0.006166089902113323
SNpp55,7,0.0,0.0,0.0,0.0
SNxx20,26,0.0,0.0,0.0,0.0007770966753975764
SNxx15,10,0.0,0.0,0.0,0.00019262349941396749
SNpp59,6,0.0,0.0,0.0,0.0
DNx02,4,0.0,0.0,0.0,0.00027096926686163395
SNpp41,22,0.0,0.0,0.0,2.6120282595337397e-05
aPhM3,5,0.0,0.0,0.0,0.0001632354573531044
BM_Hau,7,0.0,0.0,0.0,9.467767800709364e-05
SNpp44,5,0.0,0.0,0.0,0.0
PhG4,4,0.0,0.0,0.0,1.9588139773130166e-05
SNpp19,35,0.0,0.0,0.0,0.0007575460731685017
SNxx19,14,0.0,0.0,0.0,0.00015018456376934524
JO-FV,70,0.0,0.0,0.0,0.0004735581460819105
TPMN2,12,0.0,0.0,0.0,0.0006007276640313006
PhG2,4,0.0,0.0,0.0,5.87644193193905e-05
JO-FD1,4,0.0,0.0,0.0,0.0
BM_Vib,22,0.0,0.0,0.0,0.0009076798201879745
ENS2,4,0.0,0.0,0.0,0.00016976387803379475
aPhM2a,5,0.0,0.0,0.0,0.00340835634953282
aPhM5,4,0.0,0.0,0.0,3.917627954626033e-05
PhG1c,4,0.0,0.0,0.0,0.00020894015758005509
LB1c,16,0.0,0.0,0.0,0.00048647310913779333
SNppxx,80,0.0,0.0,0.0,0.0007250850015187591
aPhM1,21,0.0,0.0,0.0,0.0004211870815065568
"SApp06,SApp15",37,0.0,0.0,0.0,0.00015347018955854137
LB3b,11,0.0,0.0,0.0,6.529648522079353e-06
LB3a,17,0.0,0.0,0.0,1.3059757532541651e-05
LB3d,26,0.0,0.0,0.0,0.00015999049199361866
BM_Vt_PoOc,8,0.0,0.0,0.0,0.0004178901379886295
BM_MaPa,15,0.0,0.0,0.0,0.0
BM_vOcci_vPoOr,26,0.0,0.0,0.0,0.00015998861142292565
ENS1,6,0.0,0.0,0.0,8.814766496835499e-05
BM_InOm,745,0.0,0.0,0.0,0.0038755880541468464
LB3c,23,0.0,0.0,0.0,0.00040160170514206905
SNxx14,66,0.0,0.0,0.0,0.0030568635404358384
SNxx06,37,0.0,0.0,0.0,0.00011755163455547849
SAxx01,13,0.0,0.0,0.0,7.835670322006872e-05
SNxx25,10,0.0,0.0,0.0,0.0004407486850997561
TPMN1,48,0.0,0.0,0.0,0.0014498972336352647
PhG8,4,0.0,0.0,0.0,2.6117519697506886e-05
JO-B2,9,0.0,0.0,0.0,1.305914355524736e-05
JO-B3,12,0.0,0.0,0.0,0.0
claw_tpGRN,50,0.0,0.0,0.0,0.0007804718752551229
BM_Taste,40,0.0,0.0,0.0,0.00239678947763704
