type,n,mn9,mn9_L,mn9_R,cns
aPhM2a,5,37.0,63.666666666666664,10.333333333333334,1.1111698758757582
BM,69,27.0,54.0,0.0,5.937066038561576
aPhM5,4,24.666666666666668,49.333333333333336,0.0,2.130066553969569
TPMN1,48,19.333333333333332,36.333333333333336,2.3333333333333335,0.9401767176547193
JO-FV,70,17.166666666666668,34.333333333333336,0.0,5.239427732740765
PhG1c,4,15.166666666666666,28.0,2.3333333333333335,0.8971792425788699
BM_Vib,22,14.666666666666666,29.333333333333332,0.0,5.1860449778206155
TPMN2,12,14.0,28.0,0.0,4.079228143307502
aPhM3,5,11.166666666666666,21.0,1.3333333333333333,0.7315854080559963
LB3a,17,11.0,22.0,0.0,4.195724627176571
SNxx14,66,11.0,22.0,0.0,5.022870956595804
ENS2,4,6.833333333333333,13.666666666666666,0.0,0.71377222519309
LB3b,11,5.166666666666667,10.0,0.3333333333333333,0.6216617171930869
claw_tpGRN,50,5.166666666666667,9.666666666666666,0.6666666666666666,0.7709168095354723
BM_Taste,40,4.166666666666667,8.333333333333334,0.0,4.829223851647221
SAxx01,13,3.8333333333333335,7.666666666666667,0.0,0.6087858759430556
LB3c,23,3.1666666666666665,5.666666666666667,0.6666666666666666,0.6253754812690352
LB3d,26,2.3333333333333335,4.666666666666667,0.0,0.8107338600612144
SNxx20,26,2.1666666666666665,4.333333333333333,0.0,0.6800118327661834
JO-B3,12,2.0,4.0,0.0,0.41847783856916276
JO-FD1,4,1.5,3.0,0.0,0.5287361275161782
SNxx06,37,1.3333333333333333,2.6666666666666665,0.0,0.4988009733275341
SNxx19,14,1.1666666666666667,2.3333333333333335,0.0,0.6330083469968638
SNxx25,10,1.0,2.0,0.0,1.1262043049719717
BM_InOm,745,0.16666666666666666,0.3333333333333333,0.0,2.2471662014650575
SNpp55,7,0.0,0.0,0.0,0.0
SNxx15,10,0.0,0.0,0.0,0.009853181715785659
"SApp06,SApp15",37,0.0,0.0,0.0,0.0031869554257263058
PhG8,4,0.0,0.0,0.0,2.0374244469125498
BM_Vt_PoOc,8,0.0,0.0,0.0,0.4531790012817474
BM_MaPa,15,0.0,0.0,0.0,0.5783150467302535
JO-B2,9,0.0,0.0,0.0,0.0018837814578444318
PhG2,4,0.0,0.0,0.0,0.00035258651591634296
BM_vOcci_vPoOr,26,0.0,0.0,0.0,1.125732111150945
ENS1,6,0.0,0.0,0.0,0.8115167862536655
aPhM1,21,0.0,0.0,0.0,0.28546689077737425
SNpp19,35,0.0,0.0,0.0,0.48358214803495164
PhG4,4,0.0,0.0,0.0,0.0009434953990724363
SNpp44,5,0.0,0.0,0.0,0.0005680593915888033
BM_Hau,7,0.0,0.0,0.0,0.5101070053646332
SNppxx,80,0.0,0.0,0.0,0.41263542268862824
SNpp41,22,0.0,0.0,0.0,0.0029483268979487087
DNx02,4,0.0,0.0,0.0,0.0011165239670684194
SNpp59,6,0.0,0.0,0.0,4.570619665025814e-05
LB1c,16,0.0,0.0,0.0,0.4660934772771349
