sensory,relay,local,score,dev,chk_E1,chk_E2,chk_E3,chk_A1,chk_A2,chk_F1,chk_F2,chk_S1,gf_hit,gf_per,ttmn_ratio,pop_loom,jo_hit,jo_loom_hit,loom_hit,mn9_taste,pop_taste,mn9_control,wall_s
1.0,1.0,0.75,6,0.25,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0011516792548112611,0.0,0.3333333333333333,1.0,0.0,0.0077880439997431656,0.0,103
1.0,1.0,1.0,6,0.0,True,True,True,True,False,False,True,True,1.0,1.0,1.0,0.0018654300534863076,0.0,0.3333333333333333,1.0,0.0,0.007858385295711203,0.0,111
1.0,1.0,1.5,5,0.5,False,True,True,True,False,False,True,True,1.0,2.0833333333333335,1.0,0.004628492467340215,0.0,0.8333333333333334,1.0,0.0,0.008181233807974756,0.0,103
1.0,1.5,0.75,6,0.75,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0012194250933295705,0.0,0.0,1.0,0.0,0.010473638607343344,0.0,103
1.0,1.5,1.0,6,0.5,True,True,True,True,False,False,True,True,0.8333333333333334,1.2,1.0,0.0024654646232199055,0.0,0.3333333333333333,1.0,0.0,0.009993874896381863,0.0,103
1.0,1.5,1.5,5,1.0,False,True,True,True,False,False,True,True,1.0,2.4166666666666665,1.0,0.00676490587489976,0.0,0.8333333333333334,1.0,0.0,0.00926701483804548,0.0,103
1.5,1.0,0.75,6,0.75,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0011516792548112611,0.0,0.0,1.0,0.0,0.014926783729012145,0.0,102
1.5,1.0,1.0,6,0.5,True,True,True,True,False,False,True,True,1.0,1.0,1.0,0.0018654300534863076,0.0,0.0,1.0,0.0,0.014430787411288807,0.0,102
1.5,1.0,1.5,5,1.0,False,True,True,True,False,False,True,True,1.0,2.0833333333333335,1.0,0.004628492467340215,0.0,0.8333333333333334,1.0,0.0,0.03227583311148771,0.0,103
1.5,1.5,0.75,6,1.25,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0012194250933295705,0.0,0.0,1.0,0.0,0.02021139904148261,0.0,103
1.5,1.5,1.0,6,1.0,True,True,True,True,False,False,True,True,0.8333333333333334,1.2,1.0,0.0024654646232199055,0.0,0.0,1.0,0.0,0.01785947468398722,0.0,103
1.5,1.5,1.5,5,1.5,False,True,True,True,False,False,True,True,1.0,2.4166666666666665,1.0,0.00676490587489976,0.0,0.8333333333333334,1.0,0.0,0.03812678603764956,0.0,103
2.0,1.0,0.75,6,1.25,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0011516792548112611,0.0,0.0,1.0,0.0,0.022184562574534723,0.0,103
2.0,1.0,1.0,6,1.0,True,True,True,True,False,False,True,True,1.0,1.0,1.0,0.0018654300534863076,0.0,0.0,1.0,0.0,0.02167954814194369,0.0,103
2.0,1.0,1.5,4,1.5,False,True,True,True,False,False,True,False,1.0,2.0833333333333335,1.0,0.004628492467340215,0.0,0.5,1.0,0.0,0.03988712205982401,0.4166666666666667,104
2.0,1.5,0.75,6,1.75,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0012194250933295705,0.0,0.0,1.0,0.0,0.029824709490447656,0.0,104
2.0,1.5,1.0,6,1.5,True,True,True,True,False,False,True,True,0.8333333333333334,1.2,1.0,0.0024654646232199055,0.0,0.0,1.0,0.0,0.026634100450256444,0.0,103
2.0,1.5,1.5,5,2.0,False,True,True,True,False,False,True,True,1.0,2.4166666666666665,1.0,0.00676490587489976,0.0,0.6666666666666666,1.0,0.0,0.04260878912689499,0.08333333333333333,104
3.0,1.0,0.75,6,2.25,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0011516792548112611,0.0,0.0,1.0,0.0,0.03722317092790631,0.0,105
3.0,1.0,1.0,6,2.0,True,True,True,True,False,False,True,True,1.0,1.0,1.0,0.0018654300534863076,0.0,0.0,1.0,0.0,0.036543205066881954,0.0,104
3.0,1.0,1.5,3,2.5,False,True,True,True,False,False,False,False,1.0,2.0833333333333335,1.0,0.004628492467340215,0.0,0.3333333333333333,1.0,0.0,0.05392471966288123,1.0833333333333333,104
3.0,1.5,0.75,6,2.75,True,True,True,True,False,False,True,True,0.8333333333333334,1.0,1.0,0.0012194250933295705,0.0,0.0,1.0,0.0,0.04968079480614301,0.0,103
3.0,1.5,1.0,6,2.5,True,True,True,True,False,False,True,True,0.8333333333333334,1.2,1.0,0.0024654646232199055,0.0,0.0,1.0,0.0,0.04533045619396595,0.0,104
3.0,1.5,1.5,3,3.0,False,True,True,True,False,False,False,False,1.0,2.4166666666666665,1.0,0.00676490587489976,0.0,0.0,1.0,0.0,0.058812537921173025,0.9166666666666666,105
