trial,gain,gf,gf_lat,gf_per_firing_cell,ttmn,ttmn_lag,psi
0,1.0493857224819978,4.0,28.19999999999999,4.0,0.0,,0.0
1,0.9506122725308759,3.5,46.500000000000114,3.5,0.0,,0.0
2,1.278308914880094,4.5,33.200000000000045,4.5,0.0,,0.0
3,1.041038429519587,4.0,30.40000000000009,4.0,0.0,,0.0
4,0.8143413616592932,0.0,,,0.0,,0.0
5,1.1487053711994457,4.0,19.40000000000009,4.0,0.0,,0.0
6,1.6486448003342826,5.5,18.0,5.5,0.0,,0.0
7,1.4377952174482316,5.0,30.300000000000182,5.0,0.0,,0.0
8,0.7635229549077068,0.0,,,0.0,,0.0
9,0.6155970974641429,0.5,58.00000000000091,1.0,0.0,,0.0
10,0.7874436794986669,1.0,42.600000000000364,1.0,0.0,,0.0
11,1.0159705682529516,4.5,30.200000000000728,4.5,0.0,,0.0
12,0.4100743480579762,0.0,,,0.0,,0.0
13,0.9195372506061726,1.5,31.900000000001455,1.5,0.0,,0.0
14,0.6202192358874853,0.0,,,0.0,,0.0
15,0.7552161315143031,0.5,56.200000000003456,1.0,0.0,,0.0
16,0.8116639379340088,1.5,24.100000000003092,1.5,0.0,,0.0
17,0.88579522337279,1.5,49.00000000000364,1.5,0.0,,0.0
18,1.1709544056960948,5.0,35.80000000000473,5.0,0.0,,0.0
19,1.491376659350228,5.0,28.000000000004547,5.0,0.0,,0.0
