trial,gain,gf,gf_lat,gf_per_firing_cell,ttmn,ttmn_lag,psi
0,1.0474480030794517,1.0,32.60000000000002,1.0,1.0,0.8999999999999773,1.0
1,0.9524600995494465,0.0,,,0.0,,0.0
2,1.26633111178273,2.0,40.40000000000009,2.0,2.0,0.900000000000091,2.0
3,1.0394343523241072,1.0,48.40000000000009,1.0,1.0,0.8999999999998636,1.0
4,0.8207790753505922,0.0,,,0.0,,0.0
5,1.1426156873622932,1.0,27.899999999999636,1.0,1.0,0.9000000000005457,1.0
6,1.6173432221047384,2.5,16.100000000000364,2.5,2.5,0.900000000000091,2.5
7,1.4179167984490997,1.0,31.0,1.0,1.0,0.900000000000091,1.0
8,0.771462525866152,0.0,,,0.0,,0.0
9,0.627155416176565,0.0,,,0.0,,0.0
10,0.7946914965158783,0.5,43.600000000000364,1.0,0.5,0.900000000000091,0.5
11,1.0153535617979386,1.0,36.70000000000073,1.0,1.0,0.8999999999996362,1.0
12,0.42433211230892276,0.0,,,0.0,,0.0
13,0.922499461791079,0.5,51.60000000000218,1.0,0.5,0.9000000000005457,0.5
14,0.6316831432000419,0.0,,,0.0,,0.0
15,0.7633894384278344,0.0,,,0.0,,0.0
16,0.8181837887609138,0.5,60.50000000000364,1.0,0.5,0.8999999999996362,0.5
17,0.889923417551414,0.0,,,0.0,,0.0
18,1.1638903906430753,0.5,20.60000000000491,1.0,0.5,0.9000000000005457,0.5
19,1.4686956284735875,1.5,30.400000000005093,1.5,1.5,0.8999999999996362,1.5
20,0.9537146796253183,0.0,,,0.0,,0.0
21,1.6550232905860551,2.0,16.200000000007094,2.0,2.0,0.8999999999996362,2.0
22,0.7825031929612328,0.5,44.30000000000837,1.0,0.5,0.8999999999996362,0.5
23,1.1383749498402966,1.0,28.200000000006185,1.0,1.0,0.8999999999996362,1.0
24,1.3953000140353198,1.5,40.50000000000364,1.5,1.5,0.8999999999996362,1.5
25,1.03527007445914,1.0,50.600000000004,1.0,1.0,0.8999999999996362,1.0
26,0.7602346272830365,0.0,,,0.0,,0.0
27,0.711884111029083,0.0,,,0.0,,0.0
28,0.8447086432892645,0.5,19.0,1.0,0.5,0.8999999999996362,0.5
29,1.0845725454323099,1.0,46.899999999999636,1.0,1.0,0.8999999999996362,1.0
30,0.689184527673396,0.0,,,0.0,,0.0
31,0.925775944260312,0.5,52.19999999999527,1.0,0.5,0.8999999999996362,0.5
32,0.9429837194277394,0.5,49.299999999995634,1.0,0.5,0.8999999999996362,0.5
33,1.2206820587471625,1.0,50.999999999992724,1.0,1.0,0.9000000000014552,1.0
34,1.0823610565911477,1.0,37.69999999999345,1.0,1.0,0.8999999999996362,1.0
35,1.1399973271780743,1.0,43.499999999990905,1.0,1.0,0.8999999999996362,1.0
36,0.7857892845626228,0.0,,,0.0,,0.0
37,0.9533353516315823,0.5,27.499999999989086,1.0,0.5,0.8999999999996362,0.5
38,1.335160829072657,1.0,41.3999999999869,1.0,1.0,0.9000000000014552,1.0
39,1.7343419523026047,2.0,17.699999999986176,2.0,2.0,0.8999999999996362,2.0
