param,value,n_cord_neurons,gf_per_response,gf_hit,ttmn_ratio,ttmn_lag_ms,pop_rate_hz,wall_s,E_spikes,E_prob,E_relay,E_lag,E_quiet
tau_m_ms,5.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004114151192869232,55,True,True,True,True,True
tau_m_ms,10.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004065637134727917,55,True,True,True,True,True
tau_m_ms,20.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004055298073156816,49,True,True,True,True,True
tau_m_ms,40.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.00405450276072827,49,True,True,True,True,True
v_thresh_mV,-48.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004083929320584478,49,True,True,True,True,True
v_thresh_mV,-45.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004055298073156816,49,True,True,True,True,True
v_thresh_mV,-42.0,19912,1.6923076923076923,0.65,0.3076923076923077,24.557142857142725,0.004011555889586778,49,True,True,False,False,True
refractory_ms,1.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004055298073156816,49,True,True,True,True,True
refractory_ms,2.2,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004055298073156816,49,True,True,True,True,True
refractory_ms,5.0,19912,1.6923076923076923,0.65,1.0,0.8999999999998548,0.004055298073156816,50,True,True,True,True,True
