glom,rv,peak,n,series
LC11,0.005,0.09846413319601924,5,2021-08-04.hdf5:Fly1:series_001
LC12,0.005,0.13492625789325768,5,2021-08-04.hdf5:Fly1:series_001
LC15,0.005,0.19372109604791918,5,2021-08-04.hdf5:Fly1:series_001
LC16,0.005,0.10790488817086308,5,2021-08-04.hdf5:Fly1:series_001
LC17,0.005,0.688246023918507,5,2021-08-04.hdf5:Fly1:series_001
LC18,0.005,0.10089188081150906,5,2021-08-04.hdf5:Fly1:series_001
LC21,0.005,0.09667200135918444,5,2021-08-04.hdf5:Fly1:series_001
LC26,0.005,0.2445180911413213,5,2021-08-04.hdf5:Fly1:series_001
LC4,0.005,0.1519713362712187,5,2021-08-04.hdf5:Fly1:series_001
LC6,0.005,0.11336854651222424,5,2021-08-04.hdf5:Fly1:series_001
LC9,0.005,0.09059019879223229,5,2021-08-04.hdf5:Fly1:series_001
LPLC1,0.005,0.11106457809545867,5,2021-08-04.hdf5:Fly1:series_001
LPLC2,0.005,0.13507308190335432,5,2021-08-04.hdf5:Fly1:series_001
LC11,0.1,0.13256498854526935,5,2021-08-04.hdf5:Fly1:series_001
LC12,0.1,0.5293702227057369,5,2021-08-04.hdf5:Fly1:series_001
LC15,0.1,0.41985604174693797,5,2021-08-04.hdf5:Fly1:series_001
LC16,0.1,0.34945061125770743,5,2021-08-04.hdf5:Fly1:series_001
LC17,0.1,0.5264226628257745,5,2021-08-04.hdf5:Fly1:series_001
LC18,0.1,0.20452375575807652,5,2021-08-04.hdf5:Fly1:series_001
LC21,0.1,0.18752924108397004,5,2021-08-04.hdf5:Fly1:series_001
LC26,0.1,0.4149089980319875,5,2021-08-04.hdf5:Fly1:series_001
LC4,0.1,0.1611957440481941,5,2021-08-04.hdf5:Fly1:series_001
LC6,0.1,0.19154254722862304,5,2021-08-04.hdf5:Fly1:series_001
LC9,0.1,0.13191355991980933,5,2021-08-04.hdf5:Fly1:series_001
LPLC1,0.1,0.20151882015764136,5,2021-08-04.hdf5:Fly1:series_001
LPLC2,0.1,0.4444269386542635,5,2021-08-04.hdf5:Fly1:series_001
LC11,0.02,0.06870098181750836,5,2021-08-04.hdf5:Fly1:series_001
LC12,0.02,0.23524855856330543,5,2021-08-04.hdf5:Fly1:series_001
LC15,0.02,0.17879892857039986,5,2021-08-04.hdf5:Fly1:series_001
LC16,0.02,0.11436437194645006,5,2021-08-04.hdf5:Fly1:series_001
LC17,0.02,0.8938448215530956,5,2021-08-04.hdf5:Fly1:series_001
LC18,0.02,0.11485574692519811,5,2021-08-04.hdf5:Fly1:series_001
LC21,0.02,0.0993628857288638,5,2021-08-04.hdf5:Fly1:series_001
LC26,0.02,0.16672612917831303,5,2021-08-04.hdf5:Fly1:series_001
LC4,0.02,0.14794546452452256,5,2021-08-04.hdf5:Fly1:series_001
LC6,0.02,0.11065668438690605,5,2021-08-04.hdf5:Fly1:series_001
LC9,0.02,0.08107837890044974,5,2021-08-04.hdf5:Fly1:series_001
LPLC1,0.02,0.14676983171583155,5,2021-08-04.hdf5:Fly1:series_001
LPLC2,0.02,0.1626783716165524,5,2021-08-04.hdf5:Fly1:series_001
LC11,0.1,0.14641594564071725,5,2021-08-04.hdf5:Fly2:series_004
LC12,0.1,0.40432121831957646,5,2021-08-04.hdf5:Fly2:series_004
LC15,0.1,0.3135177357085718,5,2021-08-04.hdf5:Fly2:series_004
LC16,0.1,0.308738296481307,5,2021-08-04.hdf5:Fly2:series_004
LC17,0.1,0.3751619067903258,5,2021-08-04.hdf5:Fly2:series_004
LC18,0.1,0.1959061433164476,5,2021-08-04.hdf5:Fly2:series_004
LC21,0.1,0.19523427338364835,5,2021-08-04.hdf5:Fly2:series_004
LC26,0.1,0.3145588525803739,5,2021-08-04.hdf5:Fly2:series_004
LC4,0.1,0.19625918751860422,5,2021-08-04.hdf5:Fly2:series_004
LC6,0.1,0.1547770035448329,5,2021-08-04.hdf5:Fly2:series_004
LC9,0.1,0.1444210816306198,5,2021-08-04.hdf5:Fly2:series_004
LPLC1,0.1,0.1965257014878567,5,2021-08-04.hdf5:Fly2:series_004
LPLC2,0.1,0.3166919944513088,5,2021-08-04.hdf5:Fly2:series_004
LC11,0.005,0.08250237365052324,5,2021-08-04.hdf5:Fly2:series_004
LC12,0.005,0.13562123062415207,5,2021-08-04.hdf5:Fly2:series_004
LC15,0.005,0.18364931224971986,5,2021-08-04.hdf5:Fly2:series_004
LC16,0.005,0.0938339900913446,5,2021-08-04.hdf5:Fly2:series_004
LC17,0.005,0.19312401699998077,5,2021-08-04.hdf5:Fly2:series_004
LC18,0.005,0.12374453230745734,5,2021-08-04.hdf5:Fly2:series_004
LC21,0.005,0.09628216390671175,5,2021-08-04.hdf5:Fly2:series_004
LC26,0.005,0.19091135566594516,5,2021-08-04.hdf5:Fly2:series_004
LC4,0.005,0.18172880386894663,5,2021-08-04.hdf5:Fly2:series_004
LC6,0.005,0.09668621903794031,5,2021-08-04.hdf5:Fly2:series_004
LC9,0.005,0.11757626345644571,5,2021-08-04.hdf5:Fly2:series_004
LPLC1,0.005,0.13979306194211052,5,2021-08-04.hdf5:Fly2:series_004
LPLC2,0.005,0.1865183753252629,5,2021-08-04.hdf5:Fly2:series_004
LC11,0.02,0.08542432182710262,5,2021-08-04.hdf5:Fly2:series_004
LC12,0.02,0.17872684445306394,5,2021-08-04.hdf5:Fly2:series_004
LC15,0.02,0.17478889123289848,5,2021-08-04.hdf5:Fly2:series_004
LC16,0.02,0.10650600210370587,5,2021-08-04.hdf5:Fly2:series_004
LC17,0.02,0.2102264496529629,5,2021-08-04.hdf5:Fly2:series_004
LC18,0.02,0.11369263175807465,5,2021-08-04.hdf5:Fly2:series_004
LC21,0.02,0.08191386107544252,5,2021-08-04.hdf5:Fly2:series_004
LC26,0.02,0.15875391371224468,5,2021-08-04.hdf5:Fly2:series_004
LC4,0.02,0.17575585533841204,5,2021-08-04.hdf5:Fly2:series_004
LC6,0.02,0.10088258826963359,5,2021-08-04.hdf5:Fly2:series_004
LC9,0.02,0.06764117454595517,5,2021-08-04.hdf5:Fly2:series_004
LPLC1,0.02,0.17155814535013883,5,2021-08-04.hdf5:Fly2:series_004
LPLC2,0.02,0.15959040101261118,5,2021-08-04.hdf5:Fly2:series_004
LC11,0.1,0.1338150620711682,5,2021-08-04.hdf5:Fly3:series_007
LC12,0.1,0.3744229394120036,5,2021-08-04.hdf5:Fly3:series_007
LC15,0.1,0.2838948917310887,5,2021-08-04.hdf5:Fly3:series_007
LC16,0.1,0.19987428501818427,5,2021-08-04.hdf5:Fly3:series_007
LC17,0.1,0.5121425429383061,5,2021-08-04.hdf5:Fly3:series_007
LC18,0.1,0.23532539815766898,5,2021-08-04.hdf5:Fly3:series_007
LC21,0.1,0.22232288861641963,5,2021-08-04.hdf5:Fly3:series_007
LC26,0.1,0.34986888232147784,5,2021-08-04.hdf5:Fly3:series_007
LC4,0.1,0.15017753204303247,5,2021-08-04.hdf5:Fly3:series_007
LC6,0.1,0.21938842882239631,5,2021-08-04.hdf5:Fly3:series_007
LC9,0.1,0.10057808901151166,5,2021-08-04.hdf5:Fly3:series_007
LPLC1,0.1,0.20176713812096253,5,2021-08-04.hdf5:Fly3:series_007
LPLC2,0.1,0.2782862817593728,5,2021-08-04.hdf5:Fly3:series_007
LC11,0.005,0.08082255689080056,5,2021-08-04.hdf5:Fly3:series_007
LC12,0.005,0.1147176914880329,5,2021-08-04.hdf5:Fly3:series_007
LC15,0.005,0.16089930613880804,5,2021-08-04.hdf5:Fly3:series_007
LC16,0.005,0.10601866042987802,5,2021-08-04.hdf5:Fly3:series_007
LC17,0.005,0.33265268834625444,5,2021-08-04.hdf5:Fly3:series_007
LC18,0.005,0.10445110738988517,5,2021-08-04.hdf5:Fly3:series_007
LC21,0.005,0.11165538508447552,5,2021-08-04.hdf5:Fly3:series_007
LC26,0.005,0.2032747989417271,5,2021-08-04.hdf5:Fly3:series_007
LC4,0.005,0.20866749980746313,5,2021-08-04.hdf5:Fly3:series_007
LC6,0.005,0.11010646279978134,5,2021-08-04.hdf5:Fly3:series_007
LC9,0.005,0.09038082268937223,5,2021-08-04.hdf5:Fly3:series_007
LPLC1,0.005,0.20788638833453227,5,2021-08-04.hdf5:Fly3:series_007
LPLC2,0.005,0.1380246476912071,5,2021-08-04.hdf5:Fly3:series_007
LC11,0.02,0.0919115197972136,5,2021-08-04.hdf5:Fly3:series_007
LC12,0.02,0.15451721119455503,5,2021-08-04.hdf5:Fly3:series_007
LC15,0.02,0.2649693324351956,5,2021-08-04.hdf5:Fly3:series_007
LC16,0.02,0.07790424851503644,5,2021-08-04.hdf5:Fly3:series_007
LC17,0.02,0.27335060709594206,5,2021-08-04.hdf5:Fly3:series_007
LC18,0.02,0.1302171941814156,5,2021-08-04.hdf5:Fly3:series_007
LC21,0.02,0.1220311246607437,5,2021-08-04.hdf5:Fly3:series_007
LC26,0.02,0.21056804286887618,5,2021-08-04.hdf5:Fly3:series_007
