,2021-08-04.hdf5:Fly1:series_001,2021-08-04.hdf5:Fly2:series_004,2021-08-04.hdf5:Fly3:series_007,2021-08-11.hdf5:Fly1:series_001,2021-08-11.hdf5:Fly3:series_007,2021-08-20.hdf5:Fly1:series_002,2021-08-25.hdf5:Fly1:series_001,2021-08-25.hdf5:Fly3:series_009,2021-11-29.hdf5:Fly1:series_002,2021-11-29.hdf5:Fly3:series_008,2022-04-04.hdf5:Fly1:series_002,2022-04-04.hdf5:Fly2:series_007,2022-04-07.hdf5:Fly1:series_001,2022-04-12.hdf5:Fly1:series_002,2022-04-12.hdf5:Fly2:series_006,2022-04-12.hdf5:Fly3:series_009,2022-04-19.hdf5:Fly1:series_002,2022-04-19.hdf5:Fly2:series_006,2022-04-19.hdf5:Fly3:series_009,2022-04-26.hdf5:Fly1:series_001,2022-04-26.hdf5:Fly1:series_002,2022-04-26.hdf5:Fly2:series_005,2022-04-26.hdf5:Fly2:series_007
LC4,0.15370418161464508,0.18458128224198767,0.18864079989669316,0.17703561812937468,0.21815172731748633,0.18005417726432213,0.22333255179996936,0.2037728899920287,0.17977618436652412,0.28798941371195497,0.11841802945441512,0.18473053230206868,0.16496972287783243,0.14212613138291222,0.16236024862645415,0.17713082548563164,0.1887636935857172,0.14010180338920436,0.13821472942903815,0.18338054349511423,0.16826702852420566,0.15379904377673304,0.18213313392415198
LC6,0.13852259270925113,0.11744860361746895,0.13920335831878553,0.1348017554571625,0.14147411646053756,0.14435200040176738,0.175335888594625,0.16074082358165334,0.1013712135425838,0.20114106391149436,0.13581036642422023,0.1563457865205806,0.20225969651196235,0.11844644937604569,0.09817496984392445,0.07880368042932445,0.09564206750186936,0.11937239750757693,0.08725181101879649,0.12736520826907133,0.13158667258320741,0.12460294329509936,0.15930821602169318
LC9,0.10119404587083045,0.10987950654434023,0.08523160867063787,0.12908270277481826,0.1783566506908003,0.1417267064493565,0.12447690703113524,0.08518248841287224,0.08227261790584607,0.1430693118010413,0.07122825453048422,0.09878752047133141,0.1375892473376993,0.07923906199731283,0.09107357488737247,0.07925943471413471,0.08294936996868782,0.09184156158141463,0.06422418571944274,0.11475567826375892,0.10901935168325962,0.08236822472001881,0.15261922093539312
LC11,0.09991003451959898,0.10478088037278104,0.1021830462530608,0.1067868989389185,0.11349584860574446,0.10999066423718275,0.10922906814414146,0.09106093450183281,0.08902196188589834,0.1136041041562028,0.08319804533357689,0.10308606115370336,0.08456377349934517,0.08587051073889983,0.0834818499953006,0.07532049724098841,0.07255017025135099,0.08244095923250078,0.07362086059970817,0.07753895563917125,0.06389472567119797,0.08387129022136902,0.10770032153426932
LC12,0.2998483463874333,0.23955643113226424,0.21455261403153053,0.3304023978040179,0.301703055855224,0.23022153735251044,0.3811547081677918,0.29239337642449104,0.15101516630003592,0.28614452405435803,0.3076212160716896,0.3051517088927616,0.35615037432555396,0.29432756546511873,0.2996784487576375,0.21163012659266314,0.22173908237083656,0.23815234217117082,0.17558879732648636,0.2901207484329725,0.3289102292231739,0.3287261763503124,0.4079933593533622
LC15,0.2641253554550857,0.22398531306373004,0.23658784343503078,0.2407922133715121,0.22279015814015485,0.2164605709168104,0.2302810912341463,0.23019281952119847,0.1903041703291349,0.28761575492107844,0.1770679495648912,0.17472917822713435,0.1855143829746712,0.16093724543370172,0.1831298336593064,0.1479263801402501,0.1390201609585903,0.16812756980810145,0.17848790828055433,0.1683850442290206,0.18787134187132437,0.18933938018513452,0.23771073297800782
LC16,0.1905732904583402,0.16969276289211918,0.1279323979876996,0.19524828623813537,0.2724311877437209,0.2068993893360796,0.22630861074587136,0.1263713304657361,0.1406856326299692,0.19247167807980908,0.12170503416389883,0.1737386050697069,0.18989817017286004,0.11095176379865287,0.0981354939428103,0.08536918570606171,0.0712809553911574,0.11248233232268215,0.10480387539569982,0.143109347666748,0.16252775683816764,0.22046264232398266,0.25964395715083977
LC17,0.7028378360991259,0.25950412448108984,0.3727152794601675,0.3368681275404324,0.4775450466027856,0.3087774983473215,0.4938004427189876,0.2685624960668875,0.2450551025733735,0.38938132305681805,0.19285690636154057,0.2197259310365402,0.23087467007598725,0.25815133324953854,0.2871529204094489,0.1651582982009353,0.22061943784647983,0.2933301777809358,0.2026947138641392,0.29474251929357687,0.2474110191251573,0.16925530982705436,0.25839145616553416
LC18,0.14009046116492788,0.14444776912732654,0.15666456657632327,0.12119903894231046,0.13087967754495683,0.11291682746367598,0.14380788263219632,0.13447312864044286,0.11808022673784305,0.1751437095857518,0.1335571755376556,0.11224396988905867,0.11999464851798779,0.09520503223047239,0.12114676100029444,0.09444836414239802,0.12135222059155189,0.09445294228938149,0.1018996767078685,0.10342813458518575,0.10871671987306451,0.12286481215665093,0.1444472578179322
LC21,0.12785470939067275,0.12447676612193422,0.15200313278721295,0.14202041097311335,0.12134556357827142,0.12327299567782886,0.13307751828131734,0.15580268074929263,0.0810708225332695,0.14447361969480768,0.13591042345370732,0.11898010886756039,0.17170436739449302,0.1410240342316742,0.12536397658672377,0.09661599261788478,0.10015475389270626,0.10581913303203766,0.11117582385259729,0.12086068032305892,0.13609620929749813,0.10047721295665396,0.1389100783890195
